pair_id,kn_word,te_word,kn_iso,te_iso,synset_id,gloss,candidate_source,label,origin,annotator,notes,en_kn,en_te,needs_gloss
B000139,ಕಂಚುಕ,కంచుకీ,kaṁcuka,kaṁcukī,,kn: ಯುದ್ಧದಲ್ಲಿ ರಕ್ಷಣೆಗಾಗಿ ಮೈಗೆ ಹಾಕಿಕೊಳ್ಳುವ ಕವಚ ಅಥವಾ ಹೊದಿಕೆ ಲೋಹ ಮುಂತಾದವುಗಳಿಂದ ಮಾಡಿರುತ್ತಾರೆ || te: అంతఃపురంలో సేవలు చేస్తూ ఉండేవారు,form_similar,,,,,A shield or cover made of metal for protection in battle,They used to perform services in the harem,false
B000140,ಉತ್ಸವ,సంబరం,utsava,saṁbaraṁ,185,kn: ದೈನಂದಿನ ದಿನಚರಿಯ ಮಧ್ಯೆಯೇ ಧಾರ್ಮಿಕವಾಗಿ ಅಥವಾ ಸಾಂಸ್ಕೃತಿಕವಾಗಿ ಬಹುಜನರು ಪಾಲ್ಗೊಂಡು ಸಂಭ್ರಮಿಸುವ ಅಥವಾ ಆಚರಿಸುವ ಒಂದು ವಿಶೇಷವಾದ ದಿನ || te: అది ఒక శుభకార్యం. దాన్ని ఘనంగా జరుపుకుంటారు.,shared_synset,,,,,A special day in the middle of the daily routine that is religiously or culturally celebrated or celebrated by many people.,That is a good thing. It is celebrated grandly.,false
B000141,ಅನುಭವಾತ್ಮಕವಾದಂತ,స్వభావికమైన,anubhavātmakavādaṁta,svabhāvikamaina,17569,kn: ಯಾವುದೇ ಸಿದ್ಧಾಂತದ ಆಧಾರವನ್ನವಲಂಬಿಸಿಸದೆ ವೀಕ್ಷಣ ಹಾಗೂ ಪ್ರಯೋಗಗಳನ್ನೇ ಅವಲಂಬಿಸಿರುವ || te: ప్రయోగకరంగా,shared_synset,,,,,It relies on observation and experiments without relying on any theoretical basis,Experimentally,false
B000142,ಸಿಟ್ಟಾಗು,ఉడుకు,siṭṭāgu,uḍuku,2820,"kn: ಪ್ರಸನ್ನತೆಯಿಂದ ಉದಾಸೀನನಾಗುವ, ಸುಮ್ಮನಾಗುವ ಅಥವಾ ಬೇರೆಯಾಗುವ || te: కోరిక నెరవేరనందుకు ,మాట్లాడకుండా దూరంగా ఉండు స్థితి",shared_synset,,,,,"To become indifferent, placid, or detached from pleasure",A state of staying away from talking because the desire is not fulfilled,false
B000143,ಉತ್ತರಫಾಲ್ಗುಣಿ,ఉత్తరఫాల్గుణం,uttaraphālguṇi,uttaraphālguṇaṁ,,kn: ಚಂದ್ರನು ಉತ್ತರ ಫಾಲ್ಗುಣಿ ನಕ್ಷತ್ರಕ್ಕೆ ಬರುವ ಸಮಯ || te: ఇరవై ఏడు నక్షత్రాలలో ఒకటి,form_similar,,,,,The time when the moon comes to North Falguni Nakshatra,One of the twenty-seven stars,false
B000144,ಜನ್ಮದಿನ,జన్మదినం,janmadina,janmadinaṁ,838,kn: ಯಾವುದಾದರು ಪ್ರಸಿದ್ಧವಾದ ವ್ಯಕ್ತಿಗಳು ಜನ್ಮಿಸಿದ ದಿನವನ್ನು ಪ್ರಾಯಶಃ ಉತ್ಸವದ ರೂಪದಲ್ಲಿ ಆಚರಿಸಲಾಗುತ್ತದೆ || te: ప్రసిద్ద వ్యక్తి యొక్క జన్మదిన వేడుకలు జరుపురోజు,shared_synset,,,,,The birthday of some famous person is probably celebrated in the form of a festival,A day to celebrate a famous person's birthday,false
B000145,ಮುಚ್ಚು,మ్రుచ్చు,muccu,mruccu,,kn: ಕಣ್ಣು ತಪ್ಪಿಸು ಅಥವಾ ಇನ್ನೊಬ್ಬರ ದೃಷ್ಟಿಯಿಂದ ತಪ್ಪಿಸುವುದು || te: మోసం చేయు వ్యక్తి.,form_similar,,,,,Averting eyes or avoiding the sight of another,Cheater.,false
B000146,ಜಗಳ,జగడము,jagaḷa,jagaḍamu,10817,kn: ಭಯಂಕರ ಮತ್ತು ವ್ಯತಿರಿಕ್ತ ಪರಿಸ್ಥಿತಿಯಿಂದ ಹೊರಗೆ ಬಂದು ಮುಂದೆ ಸಾಗಲು ಪಡುವ ಪ್ರಯತ್ನ ಅಥವಾ ಪ್ರಯಾಸ || te: భయకరమైన పరిస్థితులను ఎదుర్కొనుటకు చేయుప్రయాస.,shared_synset,,,,,An attempt or effort to move forward from a dire and adverse situation,Endeavor to face fearful situations.,false
B000147,ಸಫಲವಾದಂತ,విజయవంతముగాగల,saphalavādaṁta,vijayavaṁtamugāgala,3208,kn: ಯಾವುದೇ ಕೆಲಸದಲ್ಲಿ ಗೆಲುವನ್ನು ತರುವಂತಹ ಪ್ರಯತ್ನ ಮಾಡುವುದು || te: అనుకొన్న పనిలో విజయం పొందుట.,shared_synset,,,,,Striving for success in any work,Getting success in the desired work.,false
B000148,ಗಂಟಿ,గంటి,gaṁṭi,gaṁṭi,,"kn: ಸಮಯವನ್ನು ಸೂಚಿಸುವುದಕ್ಕಾಗಿ ಹೊಡೆದುಕೊಳ್ಳುವ ಗಂಟೆ || te: ఏదైనా  తగులుట వలన, పడుటవలన శరీరానికిజరుగు హాని.",form_similar,,,,,A bell struck to indicate the time,Damage to the body due to any collision or fall.,false
B000149,ಸಂದೇಶ,సందేశ,saṁdēśa,saṁdēśa,,"kn: ಮಾತು, ಬರಹ ಅಥವಾ ಸಂಕೇತಗಳನ್ನು ಬಳಸುವ ಮೂಲಕ ಸಂವಹನ ಮಾಡಲ್ಪಟ್ಟ ಮಹತ್ವಪೂರ್ಣ ವಿಷಯ || te: ఒక రకమైన బెంగాల్ మిఠాయి",form_similar,,,,,"Meaningful content communicated using speech, writing or symbols",A type of Bengal sweet,false
B000150,ನಿಕ್ಕರು,నిక్కర్,nikkaru,nikkar,,kn: ಪ್ಯಾಂಟು ಮತ್ತಿತರ ಉಡುಪುಗಳ ಒಳಗಡೆ ತೊಡುವ ಒಂದು ಬಟ್ಟೆ || te: మగవాళ్ళు మోకాళ్ళ వరకు ధరించేది,form_similar,,,,,A garment worn inside trousers and other garments,Men wear it up to the knees,false
B000151,ಇಂದ್ರಜಿತ,మేఘనాధుడు,iṁdrajita,mēghanādhuḍu,6935,kn: ರಾವಣನ ಮಗನು ದೇವರಾಜ ಇಂದ್ರನನ್ನು ಕೂಡ ಪರಾಭವಗೊಳಿಸಿದ್ದನು || te: దేవేంద్రుణ్ణి సైతం పరాజితుని చేసిన రావణుని పుత్రుడు,shared_synset,,,,,Ravana's son also defeated the deva king Indra,He is the son of Ravana who also defeated Devendra,false
B000152,ಉಪವಿಭಾಗ,పరిచ్చేదము,upavibhāga,pariccēdamu,7807,"kn: ನಿಯಮಾವಳಿ, ವಿಧಾನ, ಸಂವಿಧಾನ ಮುಂತಾದವುಗಳ ವಿಶೇಷ ಅಂಗವು ಯಾವುದಾದರೂ ಒಂದು ವಿಶೇಷ ವಿವೇಚನೆಯನ್ನು ಹೊಂದಿರುತ್ತದೆ || te: రాజ్యాంగము మొదలైనవాటిలో ఒక విశిష్ట అంగము ఇందులో ఏదో ఒక విషయము యొక్క విశ్లేషణ జరుగును.",shared_synset,,,,,"A special organ like regulation, procedure, constitution etc. has a special discretion",A special part of constitution etc. in which the analysis of some subject is done.,false
B000153,ಮರಳಿನ,దేశము,maraḷina,dēśamu,,,random,,,,,A sandy area,"A separate territory with a constitution. It consists of regions, cities etc.",false
B000154,ತಕ್ಕುದಾದಂತಹ,మంచువేల్పు,takkudādaṁtaha,maṁcuvēlpu,,,random,,,,,Convenience or comfort,Earth is a rotating planet,false
B000155,ವಿಜಯ,విజయ,vijaya,vijaya,,kn: ಜಗಳ ಅಥವಾ ಆಟ ಮೊದಲಾದವುಗಳಲ್ಲಿ ಶತ್ರು ಅಥವಾ ಎದುರಾಳಿಗಳನ್ನು ಸೋಲಿಸಿಯುವುದರಿಂದ ಪ್ರಾಪ್ತಿಯಾಗುವಂತಹ ಸಫಲತೆ || te: శివుడి యొక్క భార్య,form_similar,,,,,Success achieved by defeating an enemy or opponent in a fight or game,Consort of Lord Shiva,false
B000156,ವಿಶಾಲ,విశాలం,viśāla,viśālaṁ,,"kn: ಅತಿ ಹೆಚ್ಚು ವ್ಯಾಪ್ತಿಯನ್ನು ಹೊಂದಿರುವಂತಹ || te: పొడవు, వెడల్పుమొదలుగునవి.",form_similar,,,,,The one with the highest coverage,"Length, width etc.",false
B000157,ಹಿಮ,హిమిక,hima,himika,2167,kn: ಗಾಳಿಯಲ್ಲಿ ನೀರಿನ ಸಣ್ಣ ಕಣಗಳು ಶೀತದ ರೂಪದಲ್ಲಿ ಒಟ್ಟು ಗೂಡಿ ಭೂಮಿಯ ಮೇಲೆ ನಿಧಾನವಾಗಿ ಬೀಳುವುದು || te: శీతకాలంలో దట్టంగా వ్యాపించే గాలిలోని సూక్ష్మమైన జల కణం,shared_synset,,,,,Small particles of water in the air aggregate in the form of frost and fall slowly on the earth,A fine water particle in the air that is dense in winter,false
B000158,ಗುಪ್ತವಾಗಿರುವಂತಹ,పింగళి,guptavāgiruvaṁtaha,piṁgaḷi,,,random,,,,,Covered or hidden,A green character,false
B000159,ಅವಿವೇಕಿಯಾದಂತ,అవివేకియైన,avivēkiyādaṁta,avivēkiyaina,2516,kn: ವಿವೇಕ ಅಥವಾ ಬುದ್ಧಿ ಇಲ್ಲದವ || te: వివేక జ్ఞానం లేనివారు.,shared_synset,,,,,One without wisdom or intelligence,Those without wisdom.,false
B000160,ಮೇರಿ,మేరీ,mēri,mērī,14095,kn: ಕ್ರೈಸ್ತರ ಪೂಜನೀಯ ತಾಯಿ ಅಥವಾ ಕ್ರೈಸ್ತರಿಂದ ಪೂಜಿಸಲ್ಪಡುವಂತಹ ಮಾತೆ || te: యేసు తల్లి,shared_synset,,,,,A venerable mother of Christians or a word venerated by Christians,Mother of Jesus,false
B000161,ಸಂಶೋಧನೆ,పరిశోధన,saṁśōdhane,pariśōdhana,138,kn: ಯಾವುದೇ ವಿಷಯವನ್ನು ಚೆನ್ನಾಗಿ ಪಿರಿಶೀಲಿಸಿ ಅದರ ಸಂಬಂದವಾಗಿ ಹೊಸ ವಿಷಯ ಅಥವಾ ತತ್ವಗಳನ್ನು ಕಂಡುಹಿಡಿಯುವ ಕ್ರಿಯೆ || te: క్రొత్త విషయాలను కనుగొనుట.,shared_synset,,,,,The act of scrutinizing any subject and discovering new concepts or principles about it,Finding new things.,false
B000162,ಸಂತೃಪ್ತ,సంతృప్తి,saṁtr̥pta,saṁtr̥pti,,kn: ಸಂತುಷ್ಟಿಯನ್ನು ಹೊಂದಿದಂತಹ ಸ್ಥಿತಿ || te: అనుకొన్నది సాధించినప్పుడు కలుగు భావన.,form_similar,,,,,A state of contentment,The feeling of achieving something.,false
B000163,ಋತುಮತಿಯಾಗದಂತಹ,త్వరగారాకపోవు,r̥tumatiyāgadaṁtaha,tvaragārākapōvu,,,random,,,,,A young woman without menstruation,Not attending on time,false
B000164,ಜನ್ಮತಾಳಿದಂತಹ,పరిష్కారం,janmatāḷidaṁtaha,pariṣkāraṁ,,,random,,,,,Relating to incarnation,Finding the correct answer to the question.,false
B000165,ಮಿತ್ಯವಾದ,అబద్ధమాడువాడు,mityavāda,abaddhamāḍuvāḍu,788,kn: ಯಾವುದು ಸುಳ್ಳಿನಿಂದ ಆವೃತವಾಗಿರುವುದೋ || te: నిజం చెప్పనివాడు,shared_synset,,,,,Which is covered with lies,He who does not tell the truth,false
B000166,ಉರುಗ್ವೆಯ,ఉరుగ్వే,urugveya,urugvē,19994,kn: ಉರುಗ್ವೆಗೆ ಸಂಬಂಧಿಸಿದ ಅಥವಾ ಉರುಗ್ವೆಯ || te: ఉరుగ్వే దేశానికి సంబంధించిన,shared_synset,,,,,Of or pertaining to Uruguay,Pertaining to the country of Uruguay,false
B000167,ಮಂದಾಕಿನಿ,మందాకిని,maṁdākini,maṁdākini,,kn: ಭಾರತದ ಒಂದು ಬಹಳ ಮುಖ್ಯವಾದ ನದಿ ಅಥವಾ ಧರ್ಮಗ್ರಂಥಗಳಲ್ಲಿ ಮೋಕ್ಷಸಾಧನೆಗಾಗಿ ಮೀಯಬೇಕಾದ ಪವಿತ್ರ ನದಿ ಎಂದು ಉಲ್ಲೇಖಗೊಂಡಿದೆ || te: అరవై సంవత్సరాలకు పైబడిన స్త్రీ.,form_similar,,,,,A very important river in India or mentioned in the scriptures as a holy river to cross for salvation,A woman over sixty years of age.,false
B000168,ವಿಸ್ಮಯಮೂಡು,అచ్చెరువుపడు,vismayamūḍu,acceruvupaḍu,2429,"kn: ಯಾವುದೇ ವಸ್ತು, ವಿಷಯ, ಸುದ್ದಿ, ಸಮಾಚಾರ, ಇತ್ಯಾದಿಗಳನ್ನು ನೋಡಿದಾಗ ಇಲ್ಲವೇ ಕೇಳಿದಾಗ ಇಲ್ಲವೇ ತಿಳಿದಾಗ ಇಲ್ಲವೇ ಅನುಭವಕ್ಕೆ ಬಂದಾಗ ಮನಸ್ಸಿನಲ್ಲಿ ಹುಟ್ಟುವ ಅನಿಸಿಕೆ ಹೊರಹೊಮ್ಮುವ ಪ್ರಕ್ರಿಯೆ || te: అసాధారణమైన వాటిని చూడగానే మనస్సులో కలిగే భావన.",shared_synset,,,,,"The process by which an impression arises in the mind when seeing or hearing or knowing or experiencing any object, subject, news, information, etc.",A feeling that arises in the mind when one sees something unusual.,false
B000169,ಮಾತನಾಡು,ఉపన్యసించు,mātanāḍu,upanyasiṁcu,1912,kn: ಇಬ್ಬರು ಇಲ್ಲವೇ ಇಬ್ಬರಿಗಿಂತ ಹೆಚ್ಚು ವ್ಯಕ್ತಿಗಳ ನಡುವೆ ನಡೆಯುವ ಮೌಖಿಕ ಸಂವಹನದ ಪ್ರಕ್ರಿಯೆ || te: ముచ్చటలాడు.,shared_synset,,,,,A process of verbal communication between two or more people,He likes it.,false
B000170,ದಿಟವಾದಂತ,సత్యమైన,diṭavādaṁta,satyamaina,3210,kn: ಯಾವುದೇ ಸಂಗತಿಯು ವಾಸ್ತವ ಜಗತ್ತಿನಲ್ಲಿ ನಡೆಯುವಂತಹದ್ದು || te: వాస్తవానికి సంబంధించిన.,shared_synset,,,,,Anything can happen in the real world,Of course.,false
B000171,ಸುಖಾನುಭವ,సుఖానుభవం,sukhānubhava,sukhānubhavaṁ,,kn: ಆ ಅನುಭವ ಸುಖವನ್ನು ನೀಡುವಂತಹದ್ದಾಗಿರುತ್ತದೆ || te: భోగలాలసను అనుభవించే వ్యవహారం,form_similar,,,,,That experience is blissful,An act of indulgence,false
B000172,ನಿವಾಸ,నివాస,nivāsa,nivāsa,,kn: ವಾಸಮಾಡುವ ಕ್ರಿಯೆ || te: నివాసయోగ్యమైన,form_similar,,,,,The act of living,habitable,false
B000173,ಅವಕಾಶ,అవకాశం,avakāśa,avakāśaṁ,,kn: ಯಾವುದೇ ಕರ್ತವ್ಯ ಅಥವಾ ಕಾರ್ಯ ಮಾಡಲು ವಿಶೇಷ ಅನುಮತಿಯ ಆಧಾರದ ಮೇಲೆ ಈ ತನಕ ಇದ್ದ ಕಟ್ಟುನಿಟ್ಟುಗಳನ್ನು ಸಡಿಲಿಸಿ ಅದರ ಬಳಕೆಗೆ ಸ್ವಾತಂತ್ರವನ್ನು ಕೊಡುವುದು || te: అనుకోకుండా వచ్చే అదృష్ట సమయము.,form_similar,,,,,Relaxing the hitherto existing restrictions on the basis of special permission to perform any duty or function and giving freedom to its use,Unexpectedly lucky timing.,false
B000174,ಕೈವಶ,కైవశం,kaivaśa,kaivaśaṁ,,kn: ಬಂಧನಕ್ಕೆ ಒಳಗಾಗುವಿಕೆ || te: ఒకరి చేతినుండి మరొకరి చేతికి ఇచ్చే లేక తీసుకొనే  క్రియ.,form_similar,,,,,Susceptibility to arrest,The act of giving or taking from one's hand to another.,false
B000175,ಅಲ್ಪಾಹಾರಿ,మితాహారి,alpāhāri,mitāhāri,657,kn: ಯಾರು ಕಡಿಮೆ ಆಹಾರವನ್ನು ಸೇವಿಸುತ್ತಾರೋ || te: తక్కువగా తినువాడు.,shared_synset,,,,,Who eats less food,Eater less.,false
B000176,ಭೈರವಿ,భైరవి,bhairavi,bhairavi,,kn: ಭೈರವ ದೇವರ ಆರಾಧನೆಗೆ ಇಲ್ಲವೆ ಪಂಥಕ್ಕೆ  ಇಲ್ಲವೆ ಅ ದೇವರ ಹೆಸರಿನಲ್ಲಿ ಪ್ರಚಲಿತವಿರುವ ವಿಷಯಗಳಿಗೆ ಸಂಬಂಧಿಸಿದ || te: శివుడి యొక్క భార్య,form_similar,,,,,Relating to the worship or sect of God Bhairava or the things prevalent in the name of that God,Consort of Lord Shiva,false
B000177,ಸಂಪ್ರದಾಯವಾಧಿ,అగ్గవగాఉన్న,saṁpradāyavādhi,aggavagāunna,,,random,,,,,One who sees his tradition as very good and another tradition as bad and inferior,Goods are available at low prices,false
B000178,ಕಾಮರಹಿತವಾದಂತಹ,సాగుబడి,kāmarahitavādaṁtaha,sāgubaḍi,,,random,,,,,Absence of libido,Work of farmers.,false
B000179,ಕಲಾಕಾರ,కళాకారుడు,kalākāra,kaḷākāruḍu,4929,kn: ಅ ಕಲೆಗಾರ ಕಲೆಯನ್ನು ಸಿದ್ಧಿಮಾಡಿಕೊಂಡಿದ್ದಾನೆ/ಲಲಿತಕಲೆಗಳನ್ನು ತಿಳಿದವನು || te: కళలను అభ్యసించినవాడు.,shared_synset,,,,,An artist is skilled in art/connoisseur of fine arts,Studied arts.,false
B000180,ಬಹುವಚನ,బహువచనం,bahuvacana,bahuvacanaṁ,18831,kn: ವ್ಯಾಕರಣದಲ್ಲಿ ಒಂದಕ್ಕಿಂತ ಹೆಚ್ಚನ್ನು ಸೂಚಿಸುವಂತಹ || te: వ్యాకరణంలో ఏకవచనానికి వ్యతిరేకార్థం.,shared_synset,,,,,"Grammarly, it means more than one",The opposite of singular in grammar.,false
B000181,ಆತ್ಮ-ಗೌರವ,ఆత్మగౌరవం,ātma-gaurava,ātmagauravaṁ,,kn: ಖಾಸಗಿ ಅಥವಾ ವ್ಯಕ್ತಿಗತ ಗೌರವ || te: వ్యక్తిగత ప్రతిష్ఠ లేక అభిమానం.,form_similar,,,,,A private or personal honor,Personal prestige or admiration.,false
B000182,ಸಮುದಾಯ,పరిషత్తు,samudāya,pariṣattu,2762,kn: ಯಾವುದೇ ವಿಷಯದ ಅಂಗವಾಗಿ ಚರ್ಚೆ ಮಾಡುವುದಕ್ಕೋಸ್ಕರ ಆಯೋಜಿಸಿರುವ ಸಭೆ ಅಥವಾ ಕೂಟ || te: ఏదైన ఒక విషయాన్ని చర్చించడానికి కొంత మంది గుమిగూడినది,shared_synset,,,,,A meeting or gathering organized to discuss any subject,A gathering of people to discuss something,false
B000183,ಶೃಂಗಾರ,శృంగారం,śr̥ṁgāra,śr̥ṁgāraṁ,,kn: ಶೋಭಾಯಮಾನವಾಗುವ ಅವಸ್ಥೆ/ಸ್ಥಿತಿ ಅಥವಾ ಭಾವ || te: మనిషిలో  వుండే చెడు గుణాలు,form_similar,,,,,A state or state of feeling blessed,Bad qualities in man,false
B000184,ಕೊಡುವಾತ,యాజన్యము,koḍuvāta,yājanyamu,,,random,,,,,One who gives or donates something,The act of putting ghee in the fire by mantra,false
B000185,ಪ್ರಾರಂಭಿಸು,ఆరంభించు,prāraṁbhisu,āraṁbhiṁcu,4704,kn: ಯಾವುದಾದರು ಕಾರ್ಯ ಶುರುವಾಗುವುದು || te: ఏదైనా పనికి నాంది పలికే  పద్ధతి.,shared_synset,,,,,Something will start working,A method of beginning any work.,false
B000186,ಸಲೀಲ-ಯೋನಿ,నాభిజన్ముడు,salīla-yōni,nābhijanmuḍu,2198,kn: ಹಿಂದೂಗಳು ಒಬ್ಬ ದೇವನು  ಸೃಷ್ಟಿಯನ್ನು ನಿರ್ಮಿಸಿದ್ದಾರೆಂದು ನಂಬಿರುವರು || te: హిందు ధర్మం ప్రకారం సృష్టికర్త,shared_synset,,,,,Hindus believe that one God created creation,Creator according to Hinduism,false
B000187,ಭೂವಿಜ್ಞಾನದ,భూవిజ్ఞానం,bhūvijñānada,bhūvijñānaṁ,,kn: ಭೂವಿಜ್ಞಾನ ಅಥವಾ ಭೂವಿಜ್ಞಾನಕ್ಕೆ ಸಂಬಂಧಿಸಿದ || te: పుడమిని గురించి తెలియజేసేది,form_similar,,,,,Of or relating to geology,About Pudamini,false
B000188,ಜನ್ಮದಾತ್ರಿ,సుతిని,janmadātri,sutini,2191,kn: ಜನ್ಮ ಪಡೆದ ಸ್ತ್ರೀ || te: మనకు జన్మనించే స్త్రీ,shared_synset,,,,,Born female,The woman who gives birth to us,false
B000189,ಜೀವನಚಕ್ರ,జీవనచక్రం,jīvanacakra,jīvanacakraṁ,10583,kn: ಜನ್ಮ ಪಡೆದಾಗಿನಿಂದ ಸಾಯುವವರೆಗೆ ವಿಭಿನ್ನ ಸ್ಥಿತಿಯ ಸರಪಳಿ ಅಥವಾ ಕ್ರಮ || te: పుట్టినప్పటి నుండి  మరణించువరకు జీవితములోని వివిధ స్థితులు.,shared_synset,,,,,A chain or sequence of different states from birth to death,Different stages of life from birth to death.,false
B000190,ಟೇಬಲ್ಲು,సులభంగా,ṭēballu,sulabhaṁgā,,,random,,,,,"Various materials such as metal, wood etc. can be cut, carved and shaped on a wooden blade",without effort,false
B000191,ತಮಾಷೆಯ,వికారమైన,tamāṣeya,vikāramaina,4062,kn: ನಗುವನ್ನು ಉತ್ಪತ್ತಿ ಮಾಡುವವ || te: హాస్యము ఉత్పన్నము చేయునది.,shared_synset,,,,,The one who produces laughter,Humor is generative.,false
B000192,ವಂಶ,సంతానం,vaṁśa,saṁtānaṁ,3645,kn: ಯಾರದ್ದಾದರೂ ಪುತ್ರಿ ಅಥವಾ ಪುತ್ರ || te: తల్లి-తండ్రులకు కలిగే బిడ్డలు.,shared_synset,,,,,Daughter or son of someone,Children born to parents.,false
B000193,ದೊರಸಾನಿ,దొరసాని,dorasāni,dorasāni,,kn: ಸ್ತ್ರೀಯರಿಗಾಗಿ ಆದರ ಸೂಚಕ ಶಬ್ದ || te: రాజు భార్య,form_similar,,,,,An indicative word for women,King's wife,false
B000194,ಪಂಜಾಬ್,పంజా,paṁjāb,paṁjā,,kn: ಭಾರತದ ಒಂದು ರಾಜ್ಯ ಅದು ಪಾಕಿಸ್ತಾನದೊಂದಿಗೆ ಹೊಂದಿಕೊಂಡಿದೆ || te: కౄరమృగాల హస్తం,form_similar,,,,,A state of India that is contiguous with Pakistan,Hand of animals,false
B000195,XII,పన్నెండు,XII,panneṁḍu,13819,kn: ಹತ್ತು ಮತ್ತು ಎರಡನ್ನು ಕೂಡುವುದರಿಂದ ಸಿಗುವ ಸಂಖ್ಯೆ || te: పది మరియు రెండు కలుపగా వచ్చే సంఖ్య.,shared_synset,,,,,The number obtained by adding ten and two,The number that comes from ten and two.,false
B000196,ವಿಲಕ್ಷಣಪೂರ್ಣ,విలక్షణమైన,vilakṣaṇapūrṇa,vilakṣaṇamaina,29143,kn: ವಿಲಕ್ಷಣದಿಂದ ಕೂಡಿರುವಂತಹ || te: వుండవలసిన లక్షణాలకు భిన్నంగా వున్నటువంటి,shared_synset,,,,,Eccentric,Different from what it should be,false
B000197,ವ್ಯಾಸ-ನದಿ,బియాస్‍నది,vyāsa-nadi,biyāsnadi,13333,kn: ಉತ್ತರ ಭಾರತದ ಒಂದು ನದಿ || te: ఉత్తర భారతదేశంలోని ఒక నది,shared_synset,,,,,A river in North India,A river in North India,false
B000198,ಪರ್ವತಾರೋಹಣ,పర్వతారోహణ,parvatārōhaṇa,parvatārōhaṇa,30346,kn: ಪರ್ವತವನ್ನು ಹತ್ತುವ ಕ್ರಿಯೆ || te: రెండువేల మీటర్ల కన్నా ఎత్తైన కొండను ఎక్కడం,shared_synset,,,,,The act of climbing a mountain,Climbing a hill higher than two thousand meters,false
B000199,ಗರ್ಭಿಣಿ,గర్భిణియైన,garbhiṇi,garbhiṇiyaina,4869,kn: ಹೊಟ್ಟೆಯಲ್ಲಿ ಮಗು ಬೆಳೆಯುತ್ತಿರುವ ಮಹಿಳೆ || te: గర్భం దాల్చిన మహిళ.,shared_synset,,,,,A woman with a baby growing in her belly,A pregnant woman.,false
B000200,ರಕ್ತ-ವರ್ಣದಂತ,అవధిలేని,rakta-varṇadaṁta,avadhilēni,,,random,,,,,blood-stained,Indefinite,false
B000201,ಯೌವನಾವಸ್ಥೆ,యవ్వనావస్థ,yauvanāvasthe,yavvanāvastha,,kn: ಬಾಲ್ಯಾವಸ್ಥೆ ಮತ್ತು ವೃದ್ಧಾವಸ್ಥೆಯ ನಡುವಿನ ಅವಸ್ಥೆ/ಸ್ಥಿತಿ ಅಥವಾ ತರುಣನಾಗುವ ಸ್ಥಿತಿ/ಅವಸ್ಥೆ || te: ప్రతి వ్యక్తి జీవితము లోని పదకొండు సంవత్సరాల వయస్సు నుండి పదిహేను సంవత్సరాల వయస్సు వరకు గల సమయం.,form_similar,,,,,A state/state between childhood and old age or a state/state of being young,The period from the age of eleven to the age of fifteen is the period of every person's life.,false
B000202,ಗದ್ದ,గద్ద,gadda,gadda,,kn: ತುಟಿಯ ಕೆಳಭಾಗ ದುಂಡಗಿದ್ದು ಮತ್ತು ದಪ್ಪವಿರುವ ಭಾಗ || te: కోడిపిల్లలను తన్నుకు పోయేపక్షి,form_similar,,,,,The lower part of the lip is rounded and thick,A bird that kicks chicks,false
B000203,ನೇಪಾಳ,నేపాళం,nēpāḷa,nēpāḷaṁ,,kn: ಭಾರತದ ಉತ್ತರ ಭಾಗದ ಹಿಮಾಲಯದ ತಪ್ಪಲಿನಲ್ಲಿರುವ ಒಂದು ದೇಶ || te: ఒక మొక్క విత్తనం దానిని సేవిస్తే విరోచనాలు అవుతాయి,form_similar,,,,,A country in the Himalayan foothills of northern India,Consuming the seed of a plant causes vomiting,false
B000204,ಮೂಲವ್ಯಾಧಿ,మూలవ్యాధి,mūlavyādhi,mūlavyādhi,,kn: ಒಂದು ತರಹದ ರೋಗದಲ್ಲಿ ಗುಪ್ತದ್ವಾರದಲ್ಲಿ ಮೊಳಕೆಯಂತೆ ಆಗುವ ಮಾಂಸದ ಉಬ್ಬರ || te: ఒకరకమైన చర్మరోగం,form_similar,,,,,"In a kind of disease, a fleshy swelling like a sprout at the entrance",A kind of skin disease,false
B000205,ಕೊಡಪಾನ,గలభా,koḍapāna,galabhā,,,random,,,,,A small clay pot filled with water,Galabha,false
B000206,ನಿಷ್ಠುರವಾಗಿ,మురిపెం,niṣṭhuravāgi,muripeṁ,,,random,,,,,Lacking even the slightest bit of Southern kindness,A strong fan,false
B000207,ಮಟ್ಟ,మట్టం,maṭṭa,maṭṭaṁ,,kn: ಯಾವುದಾದರೂ ವಸ್ತುವಿನ ಮೇಲೆ ಹರಡಿರುವ ಪದರ || te: తక్కువగా ఉండటం.,form_similar,,,,,A layer spread over something,being less,false
B000208,ರಮಾಕಾಂತ,సచ్చిదానందుడు,ramākāṁta,saccidānaṁduḍu,2185,kn: ಹಿಂಧೂಗಳ ಪ್ರಕಾರ  ಸೃಷ್ಟಿಯನ್ನು ಪಾಲನೆ ಮಾಡುತ್ತಿರುವುದು ಒಬ್ಬನೇ ದೇವರು || te: హిందువుల విశ్వాసం ప్రకారం దశావతారాలుగల దేవుడు,shared_synset,,,,,"According to Hindus, there is only one God who sustains creation","According to the Hindu belief, the God of Dashavatars",false
B000209,ಕೂತಿರು,కూతురు,kūtiru,kūturu,,kn: ಒಂದು ಸ್ಥಾನದಲ್ಲಿ ಸ್ಥಿರವಾಗಿ ಇರುವುದು || te: తమ్ముడి కూతురు,form_similar,,,,,Being fixed in one position,Brother's daughter,false
